,Entity,Code,Year,Population (historical)
673,Albania,ALB,1833,463271
674,Albania,ALB,1834,465356
675,Albania,ALB,1835,467449
676,Albania,ALB,1836,469552
677,Albania,ALB,1837,471665
678,Albania,ALB,1838,473787
679,Albania,ALB,1839,475919
680,Albania,ALB,1840,478060
681,Albania,ALB,1841,480211
682,Albania,ALB,1842,482372
683,Albania,ALB,1843,484542
684,Albania,ALB,1844,486722
685,Albania,ALB,1845,488912
686,Albania,ALB,1846,491112
687,Albania,ALB,1847,493321
688,Albania,ALB,1848,495541
689,Albania,ALB,1849,498261
690,Albania,ALB,1850,501490
691,Albania,ALB,1851,505313
692,Albania,ALB,1852,509659
693,Albania,ALB,1853,514536
694,Albania,ALB,1854,519460
695,Albania,ALB,1855,524430
696,Albania,ALB,1856,529449
697,Albania,ALB,1857,534515
698,Albania,ALB,1858,539629
699,Albania,ALB,1859,544793
700,Albania,ALB,1860,550006
701,Albania,ALB,1861,555269
702,Albania,ALB,1862,560582
703,Albania,ALB,1863,565946
704,Albania,ALB,1864,571361
705,Albania,ALB,1865,576828
706,Albania,ALB,1866,582348
707,Albania,ALB,1867,587920
708,Albania,ALB,1868,593546
709,Albania,ALB,1869,599215
710,Albania,ALB,1870,604928
711,Albania,ALB,1871,610685
712,Albania,ALB,1872,616487
713,Albania,ALB,1873,622333
714,Albania,ALB,1874,628235
715,Albania,ALB,1875,634193
716,Albania,ALB,1876,640208
717,Albania,ALB,1877,646279
718,Albania,ALB,1878,652408
719,Albania,ALB,1879,658596
720,Albania,ALB,1880,664842
721,Albania,ALB,1881,671147
722,Albania,ALB,1882,677511
723,Albania,ALB,1883,683937
724,Albania,ALB,1884,690423
725,Albania,ALB,1885,696970
726,Albania,ALB,1886,703580
727,Albania,ALB,1887,710252
728,Albania,ALB,1888,716988
729,Albania,ALB,1889,723850
730,Albania,ALB,1890,730840
731,Albania,ALB,1891,737961
732,Albania,ALB,1892,745214
733,Albania,ALB,1893,752600
734,Albania,ALB,1894,760060
735,Albania,ALB,1895,767593
736,Albania,ALB,1896,775202
737,Albania,ALB,1897,782885
738,Albania,ALB,1898,790645
739,Albania,ALB,1899,798342
740,Albania,ALB,1900,805974
741,Albania,ALB,1901,813539
742,Albania,ALB,1902,821036
743,Albania,ALB,1903,828461
744,Albania,ALB,1904,835954
745,Albania,ALB,1905,843514
746,Albania,ALB,1906,851143
747,Albania,ALB,1907,858841
748,Albania,ALB,1908,866609
749,Albania,ALB,1909,874016
750,Albania,ALB,1910,881057
751,Albania,ALB,1911,887724
752,Albania,ALB,1912,894013
753,Albania,ALB,1913,899917
754,Albania,ALB,1914,905859
755,Albania,ALB,1915,911841
756,Albania,ALB,1916,917862
757,Albania,ALB,1917,923923
758,Albania,ALB,1918,929879
759,Albania,ALB,1919,935646
760,Albania,ALB,1920,941221
761,Albania,ALB,1921,946603
762,Albania,ALB,1922,951788
763,Albania,ALB,1923,956775
764,Albania,ALB,1924,961788
765,Albania,ALB,1925,966828
766,Albania,ALB,1926,971893
767,Albania,ALB,1927,976986
768,Albania,ALB,1928,982104
769,Albania,ALB,1929,988255
770,Albania,ALB,1930,995454
771,Albania,ALB,1931,1003716
772,Albania,ALB,1932,1013057
773,Albania,ALB,1933,1023495
774,Albania,ALB,1934,1034040
775,Albania,ALB,1935,1044694
776,Albania,ALB,1936,1055458
777,Albania,ALB,1937,1066333
778,Albania,ALB,1938,1077319
779,Albania,ALB,1939,1088816
780,Albania,ALB,1940,1100833
781,Albania,ALB,1941,1113381
782,Albania,ALB,1942,1126469
783,Albania,ALB,1943,1140109
784,Albania,ALB,1944,1153914
785,Albania,ALB,1945,1167887
786,Albania,ALB,1946,1182028
787,Albania,ALB,1947,1196341
788,Albania,ALB,1948,1210827
789,Albania,ALB,1949,1229519
790,Albania,ALB,1950,1247854
791,Albania,ALB,1951,1276364
792,Albania,ALB,1952,1308369
793,Albania,ALB,1953,1343582
794,Albania,ALB,1954,1381087
795,Albania,ALB,1955,1418855
796,Albania,ALB,1956,1456823
797,Albania,ALB,1957,1497952
798,Albania,ALB,1958,1543981
799,Albania,ALB,1959,1595023
800,Albania,ALB,1960,1649393
801,Albania,ALB,1961,1698800
802,Albania,ALB,1962,1743738
803,Albania,ALB,1963,1791289
804,Albania,ALB,1964,1841445
805,Albania,ALB,1965,1894318
806,Albania,ALB,1966,1950047
807,Albania,ALB,1967,2008523
808,Albania,ALB,1968,2068849
809,Albania,ALB,1969,2126885
810,Albania,ALB,1970,2181227
811,Albania,ALB,1971,2234994
812,Albania,ALB,1972,2289267
813,Albania,ALB,1973,2344108
814,Albania,ALB,1974,2399398
815,Albania,ALB,1975,2454864
816,Albania,ALB,1976,2510582
817,Albania,ALB,1977,2566601
818,Albania,ALB,1978,2624621
819,Albania,ALB,1979,2681391
820,Albania,ALB,1980,2735423
821,Albania,ALB,1981,2790413
822,Albania,ALB,1982,2846910
823,Albania,ALB,1983,2905129
824,Albania,ALB,1984,2964961
825,Albania,ALB,1985,3026245
826,Albania,ALB,1986,3087659
827,Albania,ALB,1987,3148843
828,Albania,ALB,1988,3212924
829,Albania,ALB,1989,3260370
830,Albania,ALB,1990,3277964
831,Albania,ALB,1991,3282607
